sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
88222,lung_cancer,163.66,165.0,18.42,20.35,79.15,141.0,153.0,174.0,185.0,500000
88223,lung_cancer,164.63,165.0,19.04,19.78,79.38,141.0,153.0,175.0,186.0,500000
88224,lung_cancer,164.2,165.0,18.1,19.11,80.39,142.0,153.0,174.0,185.0,500000
88225,lung_cancer,165.03,166.0,19.55,19.28,79.9,141.0,154.0,176.0,188.0,500000
88226,lung_cancer,163.97,165.0,18.93,20.17,79.1,141.0,153.0,174.0,186.0,500000
88227,lung_cancer,165.16,166.0,20.55,20.2,78.81,140.0,153.0,177.0,189.0,500000
88228,lung_cancer,165.09,166.0,17.82,17.0,82.48,143.0,155.0,175.0,186.0,500000
88229,lung_cancer,167.19,167.0,20.15,16.96,81.87,142.0,156.0,178.0,191.0,500000
88230,lung_cancer,166.75,167.0,19.24,16.52,82.61,143.0,156.0,177.0,189.0,500000
88231,lung_cancer,165.13,166.0,18.98,18.57,80.77,142.0,154.0,176.0,187.0,500000
88232,lung_cancer,165.86,167.0,18.94,17.65,81.64,142.0,155.0,176.0,188.0,500000
88233,lung_cancer,165.54,166.0,18.75,17.75,81.63,142.0,155.0,176.0,188.0,500000
88234,lung_cancer,163.91,165.0,19.32,20.83,78.6,140.0,152.0,175.0,186.0,500000
88235,lung_cancer,165.27,166.0,19.55,19.07,80.22,141.0,154.0,176.0,188.0,500000
88236,lung_cancer,165.07,166.0,20.07,19.95,79.28,140.0,153.0,177.0,189.0,500000
88237,lung_cancer,167.12,167.0,26.39,22.14,74.2,135.0,152.0,180.0,197.0,500000
88238,lung_cancer,166.54,167.0,21.07,18.21,80.32,141.0,155.0,178.0,191.0,500000
88239,lung_cancer,166.81,167.0,21.04,18.35,80.31,141.0,155.0,178.0,191.0,500000
88240,lung_cancer,168.07,168.0,19.23,15.01,84.0,144.0,158.0,178.0,191.0,500000
88241,lung_cancer,166.8,167.0,19.44,16.51,82.6,142.0,156.0,177.0,189.0,500000
88242,lung_cancer,167.54,168.0,18.87,15.19,83.96,144.0,157.0,178.0,190.0,500000
88243,lung_cancer,166.33,167.0,19.86,17.97,81.09,142.0,155.0,177.0,190.0,500000
88244,lung_cancer,165.97,167.0,19.08,17.53,81.7,142.0,155.0,176.0,188.0,500000
88245,lung_cancer,167.43,167.0,19.65,16.27,82.65,143.0,156.0,178.0,191.0,500000
88246,lung_cancer,165.37,166.0,19.16,18.41,80.82,142.0,154.0,176.0,188.0,500000
88247,lung_cancer,165.34,166.0,20.76,20.74,77.85,140.0,153.0,176.0,189.0,500000
88248,lung_cancer,164.08,166.0,21.04,21.99,77.13,138.0,152.0,176.0,188.0,500000
88249,lung_cancer,166.42,167.0,21.38,19.09,79.64,140.0,154.0,178.0,191.0,500000
88250,lung_cancer,162.42,164.0,19.64,23.06,76.35,138.0,151.0,174.0,184.0,500000
88251,lung_cancer,165.07,166.0,21.19,20.62,78.36,139.0,153.0,177.0,189.0,500000
88252,lung_cancer,162.36,164.0,18.98,22.83,76.61,139.0,151.0,173.0,184.0,500000
88253,lung_cancer,163.65,165.0,19.61,21.29,77.91,140.0,152.0,174.0,186.0,500000
88254,lung_cancer,162.35,164.0,18.6,22.16,77.34,139.0,151.0,173.0,183.0,500000
88255,lung_cancer,162.6,164.0,18.55,21.51,78.03,139.0,152.0,173.0,183.0,500000
88256,lung_cancer,166.48,167.0,20.0,17.77,81.34,141.0,155.0,178.0,190.0,500000
88257,lung_cancer,163.62,165.0,19.42,21.19,78.18,139.0,152.0,175.0,186.0,500000
88258,lung_cancer,163.63,165.0,22.63,24.52,73.86,136.0,150.0,176.0,189.0,500000
88259,lung_cancer,165.56,166.0,18.69,17.65,81.62,142.0,155.0,176.0,187.0,500000
88260,lung_cancer,164.9,166.0,19.37,19.35,79.92,141.0,154.0,176.0,188.0,500000
88261,lung_cancer,164.8,166.0,18.78,18.86,80.5,141.0,154.0,175.0,187.0,500000
